Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,7,-24,72.46,4.3,52.94,-17,930
1,0,7,-24,70.76,4.3,51.47,-17,930
1,0,7,-24,69.69,4.3,51.46,-17,930
1,44,7,-24,69.26,4.4,50.39,-17,930
1,0,7,-24,69.5,4.5,50.4,-17,930
1,0,7,-25,70.4,4.7,53.74,-17,930
1,283,6,-25,71.92,4.7,53.75,-17,930
1,106,7,-25,74.04,4.8,52.24,-17,930
1,0,7,-25,76.69,4.6,52.25,-17,930
1,189,7,-25,79.82,4.6,50.17,-18,930
1,134,7,-25,83.38,4.3,54.64,-18,930
1,0,7,-26,87.29,4.1,54.36,-19,940
1,0,1,-26,91.52,3.9,54.37,-19,940
1,0,1,-27,96,3.8,55.2,-20,940
1,0,1,-27,100.69,3.5,55.18,-20,940
1,0,8,-27,105.55,3.3,53.45,-21,940
1,0,8,-27,110.55,3,53.44,-21,940
1,0,8,-28,115.63,2.7,57.92,-22,930
1,0,8,-28,120.77,2.4,57.9,-22,930
1,0,8,-27,125.92,2.1,58.92,-22,930
1,0,8,-27,131.03,1.9,53.96,-21,930
1,0,8,-27,136.04,1.7,55.62,-21,930
1,0,8,-27,140.87,1.7,55.57,-21,930
1,0,7,-27,145.39,1.7,57.28,-21,930
1,0,6,-27,149.44,1.8,57.23,-20,930
1,0,6,-26,152.77,2,59.29,-20,930
1,0,6,-26,155.08,2.2,54.31,-20,930
1,0,6,-26,156.05,2.5,56.91,-20,930
1,0,6,-26,155.5,2.8,52.17,-19,930
1,0,6,-25,153.55,3.1,57.77,-18,930
1,0,6,-25,150.47,3.5,52.99,-17,930
1,0,6,-23,146.6,3.9,55.33,-17,930
1,0,6,-23,142.19,4.1,50.82,-16,920
1,0,6,-22,137.43,4.4,57.72,-16,920
1,0,6,-22,132.46,4.5,53.06,-15,920
1,0,6,-20,127.37,4.6,61.58,-15,920
1,0,6,-20,122.22,4.8,61.51,-14,920
1,0,6,-19,117.07,5.1,70.52,-14,920
1,0,6,-19,111.97,5.5,64.86,-14,920
1,0,6,-18,106.94,6,70.97,-14,920
1,0,6,-18,102.03,6.1,70.87,-13,910
1,0,6,-17,97.28,6.3,75.79,-13,910
1,0,6,-17,92.73,5.8,69.81,-12,910
1,0,6,-16,88.41,5.4,76.25,-12,910
1,0,6,-16,84.4,4.3,70.34,-11,910
1,0,6,-14,80.73,3.2,78.36,-11,910
1,32,7,-14,77.47,3.1,72.39,-10,910
1,131,7,-13,74.66,3,75.53,-10,910
1,0,4,-13,72.38,4.5,69.88,-9,910
1,0,7,-12,70.67,6.1,74.26,-8,910
1,0,7,-12,69.59,7.1,74.38,-8,920
1,3,7,-14,69.15,8.2,66.21,-9,920
1,404,7,-14,69.38,8.1,66.33,-9,920
1,2,6,-16,70.27,8,60.76,-10,920
1,49,7,-16,71.79,7.3,60.87,-10,920
1,0,7,-17,73.9,6.7,60.94,-11,920
1,484,7,-17,76.55,5.6,66.09,-11,930
1,308,7,-17,79.68,4.6,68.34,-12,930
1,210,7,-17,83.23,3.8,68.39,-13,930
1,0,6,-18,87.14,3,69.5,-14,930
1,0,7,-18,91.36,2.7,69.55,-14,930
1,0,7,-18,95.85,2.4,67.75,-14,930
1,0,7,-18,100.54,2.3,67.78,-14,930
1,0,7,-18,105.4,2.2,67.4,-14,930
1,0,7,-18,110.4,2.3,67.41,-14,930
1,0,7,-18,115.48,2.4,73.15,-14,930
1,0,1,-18,120.62,2.4,73.16,-14,930
1,0,0,-18,125.77,2.4,72.92,-14,930
1,0,7,-18,130.88,2.1,72.92,-14,930
1,0,7,-18,135.89,1.9,72.82,-15,930
1,0,7,-18,140.71,1.5,72.82,-15,930
1,0,7,-18,145.24,1.1,72.83,-15,930
1,0,7,-18,149.29,1,72.8,-15,930
1,0,7,-18,152.63,1,73.84,-15,930
1,0,4,-18,154.95,0.9,73.82,-15,930
1,0,7,-18,155.93,0.8,75.16,-15,930
1,0,4,-18,155.41,0.8,75.16,-14,930
